frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
86.528001	-84.1002	86.528001	-71.7882
87.040001	-88.1287	87.040001	-76.5779
87.552001	-80.6252	87.552001	-71.3869
88.064001	-89.5346	88.064001	-73.4586
88.576001	-91.2702	88.576001	-68.2503
89.088001	-84.6381	89.088001	-69.3502
89.600001	-83.8883	89.600001	-66.4204
90.112001	-86.9689	90.112001	-65.431
90.624001	-81.8982	90.624001	-63.3759
91.136001	-79.5913	91.136001	-70.1208
91.648001	-84.075	91.648001	-64.5494
92.160001	-93.6532	92.160001	-68.8332
92.672001	-88.0189	92.672001	-69.0853
93.184001	-89.2	93.184001	-75.0065
93.696001	-83.2038	93.696001	-71.8979
94.208001	-84.0791	94.208001	-83.5443
94.720001	-82.7245	94.720001	-78.0719
95.232001	-81.8585	95.232001	-79.5809
95.744001	-87.293	95.744001	-87.8654
96.256001	-83.025	96.256001	-80.4076
96.768001	-85.3686	96.768001	-82.9203
97.280001	-93.9695	97.280001	-81.3949
97.792001	-87.5376	97.792001	-81.5986
98.304001	-85.6035	98.304001	-89.8866
98.816001	-93.4781	98.816001	-84.9636
99.328001	-92.384	99.328001	-81.0116
99.840001	-88.9892	99.840001	-81.9758
100.352001	-86.6275	100.352001	-77.8924
100.864001	-84.4879	100.864001	-80.8018
101.376001	-88.5692	101.376001	-87.9151
101.888001	-93.5251	101.888001	-86.4052
102.400001	-92.6964	102.400001	-94.2576
102.912001	-89.6005	102.912001	-86.785
103.424001	-85.5784	103.424001	-86.4558
103.936001	-84.2773	103.936001	-96.6369
104.448001	-87.454	104.448001	-84.3174
104.960001	-87.3204	104.960001	-81.8698
105.472001	-89.9897	105.472001	-90.0597
105.984001	-96.5524	105.984001	-88.5311
106.496001	-90.2554	106.496001	-88.3963
107.008001	-87.8073	107.008001	-101.419
107.520001	-89.1286	107.520001	-90.1577
108.032001	-91.5969	108.032001	-96.0676
108.544001	-135.653	108.544001	-91.3177
109.056001	-100.275	109.056001	-88.0709
109.568001	-88.2458	109.568001	-90.3349
110.080001	-88.1197	110.080001	-93.4972
110.592001	-105.984	110.592001	-96.1648
111.104001	-100.417	111.104001	-96.8031
111.616001	-90.1606	111.616001	-92.4304
112.128001	-92.3903	112.128001	-90.2592
112.640001	-97.2443	112.640001	-84.5787
113.152001	-108.14	113.152001	-88.1719
113.664001	-94.177	113.664001	-99.1317
114.176001	-91.2897	114.176001	-90.0731
114.688001	-90.3275	114.688001	-102.245
115.200001	-88.3491	115.200001	-93.9188
115.712001	-88.109	115.712001	-90.1402
116.224001	-93.2103	116.224001	-88.2462
116.736001	-95.7008	116.736001	-89.1904
117.248001	-97.9492	117.248001	-98.1094
117.760001	-104.396	117.760001	-98.2607
118.272001	-88.2755	118.272001	-90.8655
118.784001	-86.9918	118.784001	-95.9552
119.296001	-91.2708	119.296001	-98.9599
119.808001	-99.2499	119.808001	-90.7085
120.320001	-95.244	120.320001	-99.3642
120.832001	-93.7899	120.832001	-107.761
121.344001	-99.4692	121.344001	-95.8415
121.856001	-92.5024	121.856001	-96.7171
122.368001	-89.7843	122.368001	-93.0245
122.880001	-94.848	122.880001	-99.0195
123.392001	-92.264	123.392001	-97.0445
123.904001	-100.703	123.904001	-96.0863
124.416001	-94.9281	124.416001	-93.6374
124.928001	-94.8575	124.928001	-102.782
125.440001	-91.0238	125.440001	-97.2597
125.952001	-98.4747	125.952001	-88.4213
126.464001	-112.935	126.464001	-86.32
126.976001	-101.166	126.976001	-89.0213
127.488001	-92.7827	127.488001	-90.8568
128.000001	-89.3153	128.000001	-93.2439
128.512001	-94.55	128.512001	-100.379
129.024001	-89.6527	129.024001	-100.26
129.536001	-91.7748	129.536001	-89.6567
130.048001	-97.6486	130.048001	-97.0639
130.560001	-112.228	130.560001	-92.562
131.072001	-90.3548	131.072001	-90.4674
131.584001	-86.9438	131.584001	-86.1784
132.096001	-90.0293	132.096001	-85.5787
132.608001	-95.614	132.608001	-94.314
133.120001	-96.1972	133.120001	-101.743
133.632001	-86.2979	133.632001	-99.232
134.144001	-87.3562	134.144001	-99.653
134.656001	-87.608	134.656001	-110.155
135.168002	-87.8392	135.168002	-101.94
135.680002	-90.9322	135.680002	-89.7829
136.192002	-98.6546	136.192002	-85.3619
136.704002	-92.6749	136.704002	-89.1941
137.216002	-90.7026	137.216002	-93.3748
137.728002	-106.006	137.728002	-86.8457
138.240002	-92.2342	138.240002	-85.9367
138.752002	-93.82	138.752002	-95.0998
139.264002	-96.738	139.264002	-92.1756
139.776002	-98.1586	139.776002	-96.0249
140.288002	-99.5415	140.288002	-98.5772
140.800002	-98.134	140.800002	-92.369
141.312002	-103.23	141.312002	-96.5953
141.824002	-99.4243	141.824002	-91.789
142.336002	-96.3676	142.336002	-82.917
142.848002	-106.486	142.848002	-84.5075
143.360002	-96.199	143.360002	-89.8119
143.872002	-103.479	143.872002	-92.6517
144.384002	-104.591	144.384002	-96.9643
144.896002	-102.744	144.896002	-98.7397
145.408002	-92.4201	145.408002	-91.5783
145.920002	-94.2747	145.920002	-95.3833
146.432002	-95.9805	146.432002	-97.4297
146.944002	-92.3792	146.944002	-98.479
147.456002	-93.1073	147.456002	-92.0157
147.968002	-94.2011	147.968002	-92.0892
148.480002	-104.551	148.480002	-92.8944
148.992002	-108.265	148.992002	-95.1441
149.504002	-94.1692	149.504002	-100.431
150.016002	-93.0573	150.016002	-100.707
150.528002	-96.6328	150.528002	-96.9033
151.040002	-101.16	151.040002	-95.8099
151.552002	-105.556	151.552002	-88.0193
152.064002	-96.5573	152.064002	-85.6018
152.576002	-96.1269	152.576002	-85.0034
153.088002	-92.4408	153.088002	-88.4144
153.600002	-95.8399	153.600002	-95.7424
154.112002	-99.9783	154.112002	-95.4329
154.624002	-102.139	154.624002	-87.4235
155.136002	-104.628	155.136002	-90.4009
155.648002	-103.523	155.648002	-105.042
156.160002	-97.2282	156.160002	-91.8911
156.672002	-108.947	156.672002	-89.7293
157.184002	-97.1559	157.184002	-100.126
157.696002	-93.1454	157.696002	-91.0913
158.208002	-92.2891	158.208002	-93.4285
158.720002	-106.297	158.720002	-112.692
159.232002	-98.8318	159.232002	-95.6217
159.744002	-99.5964	159.744002	-100.015
160.256002	-96.9603	160.256002	-95.2565
160.768002	-95.9595	160.768002	-93.1296
161.280002	-96.9966	161.280002	-98.2642
161.792002	-99.9941	161.792002	-86.6223
162.304002	-109.593	162.304002	-98.0022
162.816002	-97.2665	162.816002	-76.9743
163.328002	-113.92	163.328002	-78.0125
163.840002	-100.319	163.840002	-74.8558
164.352002	-93.674	164.352002	-77.398
164.864002	-92.7078	164.864002	-81.8949
165.376002	-93.9185	165.376002	-83.9228
