frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0.00291	0.768584	0.00291	0.00896739
0.00293	0.770899	0.00293	0.00954538
0.002949	0.772565	0.002949	0.0101826
0.002969	0.777335	0.002969	0.0108409
0.002988	0.781118	0.002988	0.0111867
0.003008	0.784195	0.003008	0.0119746
0.003027	0.783066	0.003027	0.0125872
0.003047	0.78555	0.003047	0.0131244
0.003066	0.785183	0.003066	0.0132603
0.003086	0.786143	0.003086	0.0137148
0.003105	0.78236	0.003105	0.0139667
0.003125	0.784421	0.003125	0.0139544
0.003145	0.781146	0.003145	0.0142248
0.003164	0.78188	0.003164	0.0139667
0.003184	0.780977	0.003184	0.0139593
0.003203	0.78092	0.003203	0.0138395
0.003223	0.781541	0.003223	0.0136567
0.003242	0.781372	0.003242	0.0134171
0.003262	0.783517	0.003262	0.0130219
0.003281	0.785635	0.003281	0.0129738
0.003301	0.787724	0.003301	0.0127811
0.00332	0.784647	0.00332	0.0123501
0.00334	0.782671	0.00334	0.0121093
0.003359	0.77742	0.003359	0.0118907
0.003379	0.77694	0.003379	0.0120574
0.003398	0.780215	0.003398	0.0116894
0.003418	0.780638	0.003418	0.0115659
0.003437	0.789135	0.003437	0.0110447
0.003457	0.792297	0.003457	0.0108248
0.003477	0.790913	0.003477	0.0104618
0.003496	0.793906	0.003496	0.0100172
0.003516	0.793623	0.003516	0.00966147
0.003535	0.794216	0.003535	0.00932802
0.003555	0.795966	0.003555	0.00902297
0.003574	0.790631	0.003574	0.00846351
0.003594	0.793115	0.003594	0.00821774
0.003613	0.789248	0.003613	0.00768669
0.003633	0.789163	0.003633	0.00742981
0.003652	0.789163	0.003652	0.00704819
0.003672	0.788062	0.003672	0.00681478
0.003691	0.79272	0.003691	0.00608736
0.003711	0.7908	0.003711	0.00589469
0.00373	0.78874	0.00373	0.00500055
0.00375	0.788627	0.00375	0.00458929
0.00377	0.783517	0.00377	0.00401378
0.003789	0.780949	0.003789	0.0035173
0.003809	0.774541	0.003809	0.00266762
0.003828	0.771125	0.003828	0.0020674
0.003848	0.767935	0.003848	0.00148942
0.003867	0.768556	0.003867	0.000795345
0.003887	0.770448	0.003887	0.000164256
0.003906	0.768613	0.003906	-0.000308752
0.003926	0.766044	0.003926	-0.000595274
0.003945	0.764661	0.003945	-0.000782995
0.003965	0.762572	0.003965	-0.00109051
0.003984	0.76658	0.003984	-0.00108187
0.004004	0.766721	0.004004	-0.001256
0.004023	0.769036	0.004023	-0.00128564
0.004043	0.768669	0.004043	-0.00104235
0.004062	0.771972	0.004062	-0.000995417
0.004082	0.774004	0.004082	-0.00082128
0.004102	0.781767	0.004102	-0.000528584
0.004121	0.786933	0.004121	-7.41E-05
0.004141	0.789304	0.004141	0.000201306
0.00416	0.790292	0.00416	0.000456953
0.00418	0.790688	0.00418	0.000481653
0.004199	0.787808	0.004199	0.000585394
0.004219	0.784195	0.004219	0.000738535
0.004238	0.783122	0.004238	0.000964541
0.004258	0.779311	0.004258	0.000815105
0.004277	0.778295	0.004277	0.000949721
0.004297	0.774371	0.004297	0.00106458
0.004316	0.767427	0.004316	0.0012029
0.004336	0.764802	0.004336	0.00119178
0.004355	0.760144	0.004355	0.00128194
0.004375	0.759692	0.004375	0.00137827
0.004395	0.757575	0.004395	0.00153512
0.004414	0.758224	0.004414	0.00168579
0.004434	0.760765	0.004434	0.00175742
0.004453	0.760455	0.004453	0.00186857
0.004473	0.76483	0.004473	0.00227118
0.004492	0.766721	0.004492	0.00257005
0.004512	0.774089	0.004512	0.00300478
0.004531	0.782586	0.004531	0.00341603
0.004551	0.78778	0.004551	0.00388657
0.00457	0.796362	0.00457	0.0044485
0.00459	0.800088	0.00459	0.00493139
0.004609	0.803757	0.004609	0.00562917
0.004629	0.807371	0.004629	0.00613058
0.004648	0.808923	0.004648	0.00682836
0.004668	0.809375	0.004668	0.00745327
0.004687	0.805	0.004687	0.00808189
0.004707	0.799693	0.004707	0.00861542
0.004727	0.789812	0.004727	0.0092885
0.004746	0.785126	0.004746	0.0100666
0.004766	0.777674	0.004766	0.0105643
0.004785	0.776488	0.004785	0.0109965
0.004805	0.772254	0.004805	0.0118277
0.004824	0.769629	0.004824	0.0120228
0.004844	0.767766	0.004844	0.0125884
0.004863	0.767907	0.004863	0.0127922
0.004883	0.772734	0.004883	0.0132306
0.004902	0.774258	0.004902	0.0132134
0.004922	0.77711	0.004922	0.0130738
0.004941	0.778831	0.004941	0.0129404
0.004961	0.780074	0.004961	0.0129305
0.00498	0.780751	0.00498	0.0127082
0.005	0.782473	0.005	0.0123402
0.00502	0.78603	0.00502	0.0120203
0.005039	0.7897	0.005039	0.0117215
0.005059	0.794611	0.005059	0.0114646
0.005078	0.799664	0.005078	0.0111472
0.005098	0.79845	0.005098	0.0109348
