frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
78.336001	-85.1039	78.336001	-96.1796
78.848001	-88.6894	78.848001	-96.0186
79.360001	-83.177	79.360001	-94.8398
79.872001	-81.2054	79.872001	-95.1209
80.384001	-91.065	80.384001	-93.3771
80.896001	-89.419	80.896001	-94.4533
81.408001	-94.0768	81.408001	-90.6084
81.920001	-85.1742	81.920001	-94.9135
82.432001	-87.2624	82.432001	-91.3492
82.944001	-86.077	82.944001	-95.3057
83.456001	-87.2821	83.456001	-102.538
83.968001	-83.1458	83.968001	-101.8
84.480001	-80.9288	84.480001	-92.6973
84.992001	-85.575	84.992001	-87.8211
85.504001	-85.1931	85.504001	-85.595
86.016001	-85.1967	86.016001	-84.1442
86.528001	-86.4059	86.528001	-85.1103
87.040001	-92.0811	87.040001	-86.8428
87.552001	-83.6346	87.552001	-89.9295
88.064001	-88.3684	88.064001	-96.1519
88.576001	-91.0315	88.576001	-84.5957
89.088001	-90.36	89.088001	-87.2292
89.600001	-89.6597	89.600001	-84.6084
90.112001	-89.486	90.112001	-86.9796
90.624001	-88.8976	90.624001	-87.5905
91.136001	-92.0823	91.136001	-86.725
91.648001	-94.0709	91.648001	-84.2932
92.160001	-91.2179	92.160001	-94.6959
92.672001	-94.7383	92.672001	-85.328
93.184001	-86.9867	93.184001	-84.4433
93.696001	-84.4319	93.696001	-93.5106
94.208001	-90.483	94.208001	-90.2519
94.720001	-86.0598	94.720001	-99.7105
95.232001	-85.8532	95.232001	-96.586
95.744001	-84.0069	95.744001	-82.0997
96.256001	-85.4418	96.256001	-83.5814
96.768001	-89.2829	96.768001	-89.2302
97.280001	-97.0226	97.280001	-85.3353
97.792001	-98.8941	97.792001	-82.5078
98.304001	-107.674	98.304001	-81.0799
98.816001	-90.7322	98.816001	-81.2521
99.328001	-87.6866	99.328001	-91.3875
99.840001	-94.6467	99.840001	-78.1454
100.352001	-93.2403	100.352001	-83.184
100.864001	-98.8389	100.864001	-88.8436
101.376001	-95.0214	101.376001	-84.667
101.888001	-92.9682	101.888001	-86.464
102.400001	-88.9409	102.400001	-96.7258
102.912001	-91.8732	102.912001	-93.755
103.424001	-97.0635	103.424001	-87.8576
103.936001	-96.0171	103.936001	-91.081
104.448001	-93.0928	104.448001	-89.4802
104.960001	-103.3	104.960001	-88.1037
105.472001	-97.696	105.472001	-94.2909
105.984001	-94.5665	105.984001	-89.0288
106.496001	-91.6317	106.496001	-85.8438
107.008001	-94.0502	107.008001	-94.4208
107.520001	-89.0397	107.520001	-87.9909
108.032001	-94.653	108.032001	-92.7255
108.544001	-90.8397	108.544001	-92.6161
109.056001	-93.9158	109.056001	-93.798
109.568001	-94.3744	109.568001	-94.7756
110.080001	-92.7306	110.080001	-87.3814
110.592001	-92.8113	110.592001	-86.1511
111.104001	-94.6041	111.104001	-94.4655
111.616001	-100.461	111.616001	-87.181
112.128001	-105.111	112.128001	-85.7108
112.640001	-97.9495	112.640001	-80.5485
113.152001	-95.8371	113.152001	-98.8586
113.664001	-97.693	113.664001	-85.2114
114.176001	-97.5651	114.176001	-94.0117
114.688001	-101.399	114.688001	-91.6772
115.200001	-96.83	115.200001	-99.7375
115.712001	-107.71	115.712001	-91.5151
116.224001	-104.366	116.224001	-89.8288
116.736001	-100.767	116.736001	-86.2156
117.248001	-101.579	117.248001	-97.0234
117.760001	-103.348	117.760001	-101.159
118.272001	-105.685	118.272001	-92.1081
118.784001	-93.5445	118.784001	-101.28
119.296001	-92.6861	119.296001	-94.469
119.808001	-87.4148	119.808001	-93.5816
120.320001	-83.1433	120.320001	-102.095
120.832001	-90.5598	120.832001	-94.72
121.344001	-90.149	121.344001	-85.2881
121.856001	-87.5616	121.856001	-91.7917
122.368001	-94.9194	122.368001	-92.1583
122.880001	-94.7496	122.880001	-106.546
123.392001	-96.1981	123.392001	-100.526
123.904001	-99.1292	123.904001	-88.4649
124.416001	-94.6329	124.416001	-89.0457
124.928001	-91.3167	124.928001	-91.902
125.440001	-95.2976	125.440001	-89.5081
125.952001	-107.069	125.952001	-114.907
126.464001	-98.3631	126.464001	-95.3223
126.976001	-95.6472	126.976001	-90.86
127.488001	-94.8064	127.488001	-94.5614
128.000001	-95.2986	128.000001	-85.8009
128.512001	-98.3126	128.512001	-87.298
129.024001	-107.516	129.024001	-93.039
129.536001	-101.081	129.536001	-97.1508
130.048001	-97.9221	130.048001	-95.755
130.560001	-100.107	130.560001	-91.5502
131.072001	-102.78	131.072001	-89.8444
131.584001	-95.1725	131.584001	-86.2341
132.096001	-96.647	132.096001	-85.4979
132.608001	-104.089	132.608001	-88.3122
133.120001	-95.4701	133.120001	-88.4488
133.632001	-95.9897	133.632001	-101.647
134.144001	-97.2791	134.144001	-92.7891
134.656001	-101.62	134.656001	-87.1666
135.168002	-100.264	135.168002	-98.4702
135.680002	-98.2299	135.680002	-94.169
136.192002	-97.4854	136.192002	-90.9386
136.704002	-96.5203	136.704002	-79.9047
137.216002	-110.175	137.216002	-80.6425
137.728002	-113.749	137.728002	-83.2254
138.240002	-106.862	138.240002	-82.4115
138.752002	-96.0474	138.752002	-89.0041
139.264002	-91.1944	139.264002	-86.3824
139.776002	-90.7758	139.776002	-83.3698
140.288002	-95.2172	140.288002	-82.2444
140.800002	-99.7804	140.800002	-88.7165
141.312002	-96.7073	141.312002	-86.7104
141.824002	-89.6956	141.824002	-87.7936
142.336002	-89.6546	142.336002	-85.7646
142.848002	-105.381	142.848002	-81.3099
143.360002	-94.677	143.360002	-81.9662
143.872002	-94.9265	143.872002	-88.371
144.384002	-100.852	144.384002	-92.1279
144.896002	-93.3243	144.896002	-91.1026
145.408002	-99.077	145.408002	-83.1756
145.920002	-96.974	145.920002	-86.7436
146.432002	-90.3396	146.432002	-97.856
146.944002	-89.027	146.944002	-92.5505
147.456002	-95.2679	147.456002	-88.6086
147.968002	-92.3936	147.968002	-93.4009
148.480002	-88.6875	148.480002	-93.9806
148.992002	-108.895	148.992002	-92.2111
149.504002	-95.6928	149.504002	-90.3878
150.016002	-98.5002	150.016002	-90.0019
150.528002	-105.278	150.528002	-89.3832
151.040002	-102.078	151.040002	-93.3612
151.552002	-97.7244	151.552002	-98.1192
152.064002	-102.567	152.064002	-92.3623
152.576002	-104.975	152.576002	-95.6527
153.088002	-101.745	153.088002	-94.9523
153.600002	-106.368	153.600002	-99.1067
154.112002	-99.5796	154.112002	-96.0908
154.624002	-108.061	154.624002	-102.922
155.136002	-98.1747	155.136002	-89.6068
155.648002	-96.9637	155.648002	-95.9345
156.160002	-105.726	156.160002	-91.1847
156.672002	-94.9301	156.672002	-89.4583
157.184002	-98.4988	157.184002	-97.658
157.696002	-101.621	157.696002	-89.6717
158.208002	-107.152	158.208002	-84.8952
158.720002	-110.852	158.720002	-84.5084
159.232002	-100.731	159.232002	-90.054
159.744002	-104.622	159.744002	-90.8786
160.256002	-97.2844	160.256002	-91.1886
160.768002	-105.436	160.768002	-93.2328
161.280002	-102.921	161.280002	-87.033
161.792002	-111.056	161.792002	-93.3238
162.304002	-114.092	162.304002	-97.2622
162.816002	-100.799	162.816002	-89.1079
163.328002	-104.964	163.328002	-85.6176
163.840002	-103.989	163.840002	-95.2574
164.352002	-104.763	164.352002	-107.732
164.864002	-94.8152	164.864002	-92.1437
165.376002	-99.9253	165.376002	-89.9573
165.888002	-98.1168	165.888002	-97.0599
166.400002	-96.6916	166.400002	-95.313
166.912002	-103.421	166.912002	-96.0002
167.424002	-95.942	167.424002	-92.9994
167.936002	-97.3287	167.936002	-98.502
168.448002	-98.8615	168.448002	-90.9045
168.960002	-100.735	168.960002	-90.311
169.472002	-106.637	169.472002	-87.2571
169.984002	-101.359	169.984002	-91.7146
170.496002	-99.6085	170.496002	-92.6333
171.008002	-104.344	171.008002	-96.22
171.520002	-100.544	171.520002	-95.7454
172.032002	-99.5149	172.032002	-90.8187
172.544002	-100.316	172.544002	-86.5748
173.056002	-100.121	173.056002	-93.2589
173.568002	-97.0864	173.568002	-88.0683
174.080002	-98.9251	174.080002	-84.2718
174.592002	-103.385	174.592002	-84.118
175.104002	-102.774	175.104002	-95.8988
175.616002	-104.87	175.616002	-92.4714
176.128002	-108.29	176.128002	-92.3412
176.640002	-102.194	176.640002	-88.6064
177.152002	-99.5349	177.152002	-87.4235
177.664002	-103.681	177.664002	-91.091
178.176002	-98.5328	178.176002	-86.7902
178.688002	-98.8559	178.688002	-89.962
179.200002	-101.756	179.200002	-102.712
179.712002	-95.1723	179.712002	-92.8605
180.224002	-99.9187	180.224002	-85.1005
180.736002	-106.342	180.736002	-90.6316
181.248002	-122.656	181.248002	-97.4523
181.760002	-97.6273	181.760002	-99.8647
182.272002	-92.2905	182.272002	-89.6713
182.784002	-94.3505	182.784002	-89.7402
183.296002	-98.9109	183.296002	-90.5716
183.808002	-97.7115	183.808002	-91.4931
184.320002	-107.474	184.320002	-89.702
184.832002	-95.7027	184.832002	-88.6219
185.344002	-94.0611	185.344002	-88.165
185.856002	-96.6301	185.856002	-88.2931
186.368002	-103.063	186.368002	-92.5078
186.880002	-91.6655	186.880002	-97.4072
187.392002	-94.9745	187.392002	-95.7187
187.904002	-99.135	187.904002	-90.8684
188.416002	-98.0512	188.416002	-96.8677
188.928002	-104.158	188.928002	-96.1319
189.440002	-96.8545	189.440002	-100.116
189.952002	-114.586	189.952002	-98.7163
190.464002	-95.0794	190.464002	-94.5495
190.976002	-95.6226	190.976002	-93.5107
191.488002	-101.818	191.488002	-91.4017
192.000002	-96.6514	192.000002	-98.3204
192.512002	-102.107	192.512002	-91.381
193.024002	-96.7025	193.024002	-95.702
193.536002	-100.639	193.536002	-97.2842
194.048002	-105.056	194.048002	-96.0778
194.560002	-103.054	194.560002	-94.2394
195.072002	-101.147	195.072002	-91.9002
195.584002	-102.419	195.584002	-98.9543
196.096002	-107.773	196.096002	-95.5997
196.608002	-114.58	196.608002	-96.338
197.120002	-97.6549	197.120002	-93.9547
197.632002	-94.6887	197.632002	-91.1937
198.144002	-99.1595	198.144002	-103.108
198.656002	-107.475	198.656002	-91.8676
199.168002	-98.4539	199.168002	-97.9519
199.680002	-92.1523	199.680002	-82.4685
200.192002	-96.8809	200.192002	-80.8562
200.704002	-104.144	200.704002	-91.0081
201.216002	-108.039	201.216002	-94.1189
201.728002	-100.98	201.728002	-98.0535
202.240002	-94.9771	202.240002	-101.793
202.752002	-96.0808	202.752002	-120.65
203.264002	-98.919	203.264002	-97.4394
203.776002	-118.141	203.776002	-99.0559
204.288002	-99.9001	204.288002	-97.5558
204.800002	-100.617	204.800002	-90.2618
205.312002	-95.1297	205.312002	-98.1577
205.824002	-99.0792	205.824002	-92.5757
206.336002	-102.274	206.336002	-91.6186
