frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0.002715	0.0946228	0.002715	0.115521
0.002734	0.0941429	0.002734	0.110212
0.002754	0.0916023	0.002754	0.0993008
0.002773	0.0919411	0.002773	0.0855935
0.002793	0.0943123	0.002793	0.0578552
0.002812	0.0958084	0.002812	0.0288177
0.002832	0.095639	0.002832	-0.00902668
0.002852	0.0981796	0.002852	-0.0460078
0.002871	0.0973328	0.002871	-0.0904915
0.002891	0.0981796	0.002891	-0.143139
0.00291	0.0968529	0.00291	-0.199777
0.00293	0.0973328	0.00293	-0.262
0.002949	0.097982	0.002949	-0.333688
0.002969	0.093663	0.002969	-0.420633
0.002988	0.0951874	0.002988	-0.490543
0.003008	0.0960342	0.003008	-0.599732
0.003027	0.0938324	0.003027	-0.694503
0.003047	0.0940018	0.003047	-0.790737
0.003066	0.0881584	0.003066	-0.893465
0.003086	0.0863235	0.003086	-0.994562
0.003105	0.085759	0.003105	-1.11205
0.003125	0.0839241	0.003125	-1.21344
0.003145	0.0803673	0.003145	-1.3151
0.003164	0.0779114	0.003164	-1.40493
0.003184	0.0772339	0.003184	-1.52057
0.003203	0.076754	0.003203	-1.62339
0.003223	0.0726891	0.003223	-1.72847
0.003242	0.0686806	0.003242	-1.81363
0.003262	0.0662529	0.003262	-1.88242
0.003281	0.0653778	0.003281	-1.93327
0.003301	0.0593651	0.003301	-1.96471
0.00332	0.0551025	0.00332	-1.99131
0.00334	0.0540016	0.00334	-1.98233
0.003359	0.0516022	0.003359	-1.98353
0.003379	0.0511223	0.003379	-1.94554
0.003398	0.0493156	0.003398	-1.87829
0.003418	0.0482994	0.003418	-1.80655
0.003437	0.0419479	0.003437	-1.71787
0.003457	0.041214	0.003457	-1.60005
0.003477	0.039492	0.003477	-1.45604
0.003496	0.0407059	0.003496	-1.28486
0.003516	0.0391533	0.003516	-1.06439
0.003535	0.0389839	0.003535	-0.873614
0.003555	0.0379395	0.003555	-0.578398
0.003574	0.0401413	0.003574	-0.343098
0.003594	0.0384193	0.003594	-0.000901556
0.003613	0.041214	0.003613	0.322516
0.003633	0.040593	0.003633	0.684416
0.003652	0.0439522	0.003652	1.07218
0.003672	0.046888	0.003672	1.46568
0.003691	0.0502754	0.003691	1.90352
0.003711	0.0523361	0.003711	2.30271
0.00373	0.0572479	0.00373	2.79723
0.00375	0.0629784	0.00375	3.24659
0.00377	0.0683418	0.00377	3.71185
0.003789	0.0733101	0.003789	4.15068
0.003809	0.0776573	0.003809	4.66107
0.003828	0.0836136	0.003828	5.16119
0.003848	0.0893158	0.003848	5.61499
0.003867	0.0965141	0.003867	6.0869
0.003887	0.0988853	0.003887	6.68083
0.003906	0.106112	0.003906	7.05011
0.003926	0.111419	0.003926	7.34991
0.003945	0.118279	0.003945	7.3881
0.003965	0.12367	0.003965	8.00197
0.003984	0.127312	0.003984	8.49114
0.004004	0.134482	0.004004	8.99769
0.004023	0.137305	0.004023	9.5087
0.004043	0.145209	0.004043	9.26811
0.004062	0.145999	0.004062	9.09628
0.004082	0.157065	0.004082	9.19175
0.004102	0.153508	0.004102	9.40749
0.004121	0.150798	0.004121	9.5351
0.004141	0.157319	0.004141	9.44133
0.00416	0.167171	0.00416	9.31933
0.00418	0.171264	0.00418	9.3618
0.004199	0.160114	0.004199	9.48311
0.004219	0.15842	0.004219	9.72134
0.004238	0.17372	0.004238	9.80801
0.004258	0.188963	0.004258	9.79282
0.004277	0.189443	0.004277	9.73342
0.004297	0.184757	0.004297	9.30369
0.004316	0.177757	0.004316	8.91979
0.004336	0.175809	0.004336	8.22964
0.004355	0.175047	0.004355	7.76883
0.004375	0.175526	0.004375	7.40686
0.004395	0.175103	0.004395	7.04454
0.004414	0.170389	0.004414	6.82483
0.004434	0.164433	0.004434	6.5455
0.004453	0.158787	0.004453	6.35344
0.004473	0.164771	0.004473	5.88075
0.004492	0.174341	0.004492	5.39007
0.004512	0.176768	0.004512	4.61127
0.004531	0.174623	0.004531	4.02724
0.004551	0.16813	0.004551	3.29646
0.00457	0.162654	0.00457	2.51729
0.00459	0.150375	0.00459	1.84054
0.004609	0.14072	0.004609	1.06226
0.004629	0.137022	0.004629	0.663453
0.004648	0.131123	0.004648	0.30111
0.004668	0.12957	0.004668	-0.450272
0.004687	0.130756	0.004687	-1.33735
0.004707	0.131772	0.004707	-2.22436
0.004727	0.125674	0.004727	-2.76782
0.004746	0.121751	0.004746	-3.07619
0.004766	0.123049	0.004766	-3.61904
0.004785	0.119746	0.004785	-4.38536
0.004805	0.11396	0.004805	-5.41171
0.004824	0.104588	0.004824	-6.24354
0.004844	0.0960342	0.004844	-6.75048
0.004863	0.0926186	0.004863	-7.0967
0.004883	0.0882149	0.004883	-7.36158
0.004902	0.0882431	0.004902	-7.67761
0.004922	0.0812706	0.004922	-7.8887
0.004941	0.0723503	0.004941	-8.01886
0.004961	0.0623856	0.004961	-8.08255
0.00498	0.0647285	0.00498	-8.12461
