frequency - Sound Pressure_29	Amplitude - Sound Pressure_29	frequency - Acceleration	Amplitude - Acceleration
0.002734	1.96187	0.002734	0.00238233
0.002754	1.95131	0.002754	0.00263798
0.002773	1.93734	0.002773	0.0024305
0.002793	1.92715	0.002793	0.002554
0.002812	1.91193	0.002812	0.00266638
0.002832	1.89528	0.002832	0.00257623
0.002852	1.87606	0.002852	0.0027059
0.002871	1.85875	0.002871	0.00259722
0.002891	1.8369	0.002891	0.00259599
0.00291	1.81522	0.00291	0.00243297
0.00293	1.79487	0.00293	0.00262192
0.002949	1.76975	0.002949	0.00251077
0.002969	1.74332	0.002969	0.00278988
0.002988	1.71899	0.002988	0.00261081
0.003008	1.69138	0.003008	0.00267009
0.003027	1.66279	0.003027	0.00249595
0.003047	1.6319	0.003047	0.00239221
0.003066	1.60057	0.003066	0.00243173
0.003086	1.56763	0.003086	0.00249225
0.003105	1.53914	0.003105	0.00257376
0.003125	1.50679	0.003125	0.00266515
0.003145	1.473	0.003145	0.00261081
0.003164	1.4404	0.003164	0.00239221
0.003184	1.40607	0.003184	0.00255523
0.003203	1.37152	0.003203	0.00249719
0.003223	1.34041	0.003223	0.00259599
0.003242	1.30301	0.003242	0.00277136
0.003262	1.26773	0.003262	0.00296402
0.003281	1.22894	0.003281	0.00286151
0.003301	1.19382	0.003301	0.00279359
0.00332	1.15326	0.00332	0.00300107
0.00334	1.11526	0.00334	0.00296402
0.003359	1.07893	0.003359	0.00298501
0.003379	1.04271	0.003379	0.00324437
0.003398	1.00523	0.003398	0.00331847
0.003418	0.963278	0.003418	0.00326907
0.003437	0.922855	0.003437	0.00337157
0.003457	0.880568	0.003457	0.00348766
0.003477	0.837773	0.003477	0.00349013
0.003496	0.794978	0.003496	0.00343209
0.003516	0.752494	0.003516	0.00354818
0.003535	0.709586	0.003535	0.00363586
0.003555	0.668034	0.003555	0.00365315
0.003574	0.622331	0.003574	0.00366797
0.003594	0.57773	0.003594	0.00364698
0.003613	0.536346	0.003613	0.00385693
0.003633	0.490221	0.003633	0.00403107
0.003652	0.44322	0.003652	0.00377419
0.003672	0.397602	0.003672	0.00377913
0.003691	0.351928	0.003691	0.00379765
0.003711	0.303262	0.003711	0.00397179
0.00373	0.252986	0.00373	0.00386434
0.00375	0.201723	0.00375	0.00378901
0.00377	0.151447	0.00377	0.00380506
0.003789	0.103995	0.003789	0.00346173
0.003809	0.048497	0.003809	0.0035136
0.003828	0.00158081	0.003828	0.00355559
0.003848	-0.0501343	0.003848	0.00353706
0.003867	-0.100184	0.003867	0.00340615
0.003887	-0.147552	0.003887	0.00344938
0.003906	-0.198363	0.003906	0.00297637
0.003926	-0.247623	0.003926	0.00292944
0.003945	-0.298801	0.003945	0.00280347
0.003965	-0.343431	0.003965	0.0024836
0.003984	-0.394412	0.003984	0.00249101
0.004004	-0.442034	0.004004	0.00219337
0.004023	-0.491322	0.004023	0.00190685
0.004043	-0.538548	0.004043	0.0015981
0.004062	-0.58171	0.004062	0.00128935
0.004082	-0.627215	0.004082	0.00109916
0.004102	-0.670885	0.004102	0.000965776
0.004121	-0.714131	0.004121	0.000785465
0.004141	-0.753228	0.004141	0.000629854
0.00416	-0.797265	0.00416	0.000265527
0.00418	-0.832805	0.00418	0.000195131
0.004199	-0.871083	0.004199	-0.000160551
0.004219	-0.908176	0.004219	-0.000314927
0.004238	-0.942163	0.004238	-0.000608859
0.004258	-0.975473	0.004258	-0.000844746
0.004277	-1.00915	0.004277	-0.00108804
0.004297	-1.0465	0.004297	-0.00120907
0.004316	-1.07955	0.004316	-0.00138815
0.004336	-1.11292	0.004336	-0.00145484
0.004355	-1.14657	0.004355	-0.00159193
0.004375	-1.17855	0.004375	-0.00169443
0.004395	-1.21344	0.004395	-0.0020143
0.004414	-1.24537	0.004414	-0.00205258
0.004434	-1.27586	0.004434	-0.00219461
0.004453	-1.30869	0.004453	-0.00237492
0.004473	-1.33875	0.004473	-0.00253918
0.004492	-1.36915	0.004492	-0.00259846
0.004512	-1.3949	0.004512	-0.00274295
0.004531	-1.42233	0.004531	-0.00276765
0.004551	-1.45121	0.004551	-0.00282199
0.00457	-1.47444	0.00457	-0.0028504
0.00459	-1.50301	0.00459	-0.00267997
0.004609	-1.53045	0.004609	-0.00277259
0.004629	-1.55038	0.004629	-0.00276024
0.004648	-1.57793	0.004648	-0.00269479
0.004668	-1.6019	0.004668	-0.00262069
0.004687	-1.62211	0.004687	-0.00280717
0.004707	-1.64125	0.004707	-0.00297143
0.004727	-1.66011	0.004727	-0.00289239
0.004746	-1.6791	0.004746	-0.00278988
0.004766	-1.69517	0.004766	-0.00284916
0.004785	-1.71261	0.004785	-0.00294673
0.004805	-1.72989	0.004805	-0.00289609
0.004824	-1.74824	0.004824	-0.00286398
0.004844	-1.76466	0.004844	-0.00273431
0.004863	-1.78067	0.004863	-0.00265033
0.004883	-1.79258	0.004883	-0.00272566
0.004902	-1.80774	0.004902	-0.00261081
0.004922	-1.81881	0.004922	-0.00275777
0.004941	-1.82846	0.004941	-0.00268738
0.004961	-1.83707	0.004961	-0.00263304
0.00498	-1.84777	0.00498	-0.00261081
0.005	-1.85867	0.005	-0.00261328
0.00502	-1.86428	0.00502	-0.00259352
0.005039	-1.86911	0.005039	-0.00296402
0.005059	-1.87371	0.005059	-0.00282446
0.005078	-1.87668	0.005078	-0.00294673
0.005098	-1.88294	0.005098	-0.00297143
0.005117	-1.88337	0.005117	-0.00277877
0.005137	-1.88212	0.005137	-0.00284299
0.005156	-1.88356	0.005156	-0.00279359
0.005176	-1.87368	0.005176	-0.00298254
0.005195	-1.86798	0.005195	-0.00305912
0.005215	-1.85867	0.005215	-0.00304677
0.005234	-1.85099	0.005234	-0.00319744
0.005254	-1.84023	0.005254	-0.00297266
0.005273	-1.82843	0.005273	-0.00270467
0.005293	-1.81807	0.005293	-0.00276395
0.005312	-1.80359	0.005312	-0.00267009
0.005332	-1.7903	0.005332	-0.00239715
0.005352	-1.77813	0.005352	-0.00211804
0.005371	-1.76195	0.005371	-0.00265033
0.005391	-1.75049	0.005391	-0.0037853
0.00541	-1.73666	0.00541	-0.00483753
0.00543	-1.72176	0.00543	-0.0039298
0.005449	-1.70829	0.005449	-0.00154747
0.005469	-1.69006	0.005469	0.00122389
0.005488	-1.67301	0.005488	0.00250089
