frequency - Sound Pressure_29 (FFT - (RMS))	Amplitude - Sound Pressure_29 (FFT - (RMS))	frequency - Acceleration (FFT - (RMS))	Amplitude - Acceleration (FFT - (RMS))
86.016001	-74.9361	86.016001	-74.1694
86.528001	-73.1418	86.528001	-71.7283
87.040001	-79.9461	87.040001	-73.8546
87.552001	-82.7853	87.552001	-71.3233
88.064001	-82.9538	88.064001	-72.7244
88.576001	-83.3767	88.576001	-70.8731
89.088001	-94.2811	89.088001	-66.375
89.600001	-83.2478	89.600001	-66.8946
90.112001	-81.9038	90.112001	-62.4621
90.624001	-80.5056	90.624001	-65.7666
91.136001	-83.5236	91.136001	-60.2198
91.648001	-83.8848	91.648001	-63.8629
92.160001	-81.8697	92.160001	-66.9789
92.672001	-94.8771	92.672001	-71.1596
93.184001	-92.4847	93.184001	-70.0858
93.696001	-89.5078	93.696001	-75.9084
94.208001	-85.9832	94.208001	-77.4245
94.720001	-82.2675	94.720001	-69.9173
95.232001	-78.5132	95.232001	-77.8506
95.744001	-77.1231	95.744001	-76.2291
96.256001	-82.3688	96.256001	-87.1599
96.768001	-78.0125	96.768001	-87.1076
97.280001	-77.4817	97.280001	-88.0844
97.792001	-82.0278	97.792001	-79.5291
98.304001	-87.6966	98.304001	-100.387
98.816001	-87.2419	98.816001	-84.8858
99.328001	-80.4568	99.328001	-77.6296
99.840001	-81.4245	99.840001	-81.4068
100.352001	-86.9963	100.352001	-82.0728
100.864001	-91.2895	100.864001	-82.7245
101.376001	-87.3084	101.376001	-84.2632
101.888001	-88.5133	101.888001	-91.6157
102.400001	-90.587	102.400001	-79.303
102.912001	-82.7831	102.912001	-82.0321
103.424001	-80.9665	103.424001	-89.1789
103.936001	-87.9282	103.936001	-91.6288
104.448001	-89.9721	104.448001	-93.462
104.960001	-84.6841	104.960001	-93.331
105.472001	-79.7376	105.472001	-89.2821
105.984001	-84.6266	105.984001	-89.0793
106.496001	-87.872	106.496001	-91.207
107.008001	-91.3165	107.008001	-85.1388
107.520001	-81.7911	107.520001	-83.5308
108.032001	-73.7272	108.032001	-95.3984
108.544001	-72.9996	108.544001	-83.8447
109.056001	-84.4877	109.056001	-87.0779
109.568001	-95.9477	109.568001	-97.0917
110.080001	-93.9218	110.080001	-90.4484
110.592001	-94.9661	110.592001	-87.9901
111.104001	-102.189	111.104001	-88.7609
111.616001	-95.2383	111.616001	-94.6375
112.128001	-95.468	112.128001	-86.4259
112.640001	-95.2747	112.640001	-89.7121
113.152001	-94.0639	113.152001	-103.649
113.664001	-89.6005	113.664001	-92.5111
114.176001	-89.4039	114.176001	-92.0051
114.688001	-88.1153	114.688001	-86.3735
115.200001	-87.4427	115.200001	-88.52
115.712001	-87.5303	115.712001	-85.9082
116.224001	-88.65	116.224001	-89.8702
116.736001	-95.5483	116.736001	-90.7741
117.248001	-106.055	117.248001	-92.8444
117.760001	-96.252	117.760001	-99.3545
118.272001	-95.1882	118.272001	-93.6718
118.784001	-91.7945	118.784001	-96.5112
119.296001	-88.6985	119.296001	-87.4808
119.808001	-83.4942	119.808001	-84.5865
120.320001	-81.5466	120.320001	-89.252
120.832001	-87.7014	120.832001	-95.5847
121.344001	-92.3643	121.344001	-92.4869
121.856001	-94.6574	121.856001	-91.0706
122.368001	-98.1255	122.368001	-93.5936
122.880001	-91.273	122.880001	-97.2031
123.392001	-95.6232	123.392001	-95.4874
123.904001	-110.677	123.904001	-88.4577
124.416001	-100.002	124.416001	-89.5478
124.928001	-95.0681	124.928001	-87.964
125.440001	-96.971	125.440001	-90.7834
125.952001	-97.1597	125.952001	-91.1972
126.464001	-92.2618	126.464001	-88.9699
126.976001	-90.2104	126.976001	-94.0573
127.488001	-97.4544	127.488001	-92.6
128.000001	-105.023	128.000001	-91.1147
128.512001	-96.7815	128.512001	-108.241
129.024001	-99.9054	129.024001	-102.743
129.536001	-91.5381	129.536001	-91.5111
130.048001	-88.654	130.048001	-91.4679
130.560001	-93.9205	130.560001	-104.664
131.072001	-88.6192	131.072001	-94.4071
131.584001	-82.711	131.584001	-93.6044
132.096001	-90.4557	132.096001	-94.9885
132.608001	-91.8243	132.608001	-88.8463
133.120001	-98.3802	133.120001	-88.2235
133.632001	-89.3347	133.632001	-92.4549
134.144001	-89.647	134.144001	-96.2989
134.656001	-92.6668	134.656001	-89.936
135.168002	-87.0363	135.168002	-89.6483
135.680002	-91.8028	135.680002	-87.9486
136.192002	-98.4112	136.192002	-88.0217
136.704002	-115.598	136.704002	-90.6399
137.216002	-101.273	137.216002	-103.272
137.728002	-93.1415	137.728002	-117.808
138.240002	-90.9993	138.240002	-99.1104
138.752002	-112.052	138.752002	-94.6146
139.264002	-93.7457	139.264002	-99.2664
139.776002	-95.4954	139.776002	-112.946
140.288002	-98.0419	140.288002	-98.3135
140.800002	-94.8668	140.800002	-98.7718
141.312002	-96.5749	141.312002	-89.6361
141.824002	-108.046	141.824002	-87.3027
142.336002	-91.9145	142.336002	-85.9169
142.848002	-85.1639	142.848002	-84.6194
143.360002	-93.4076	143.360002	-83.2796
143.872002	-101.992	143.872002	-96.1749
144.384002	-91.8144	144.384002	-89.7989
144.896002	-94.5376	144.896002	-92.9566
145.408002	-101.572	145.408002	-95.1966
145.920002	-93.3664	145.920002	-101.634
146.432002	-87.0983	146.432002	-89.0368
146.944002	-80.8786	146.944002	-87.9085
147.456002	-81.4692	147.456002	-90.1379
147.968002	-86.0798	147.968002	-103.242
148.480002	-92.9946	148.480002	-94.4431
148.992002	-93.9732	148.992002	-100.791
149.504002	-91.5125	149.504002	-99.7739
150.016002	-88.0885	150.016002	-91.8439
150.528002	-89.9616	150.528002	-94.6771
