Frequency - Plot 0	Amplitude - Plot 0
191	1.72E-07
191	3.46E-07
192	3.40E-07
193	2.85E-07
193	3.43E-07
194	3.86E-07
194	3.31E-07
195	3.33E-07
195	4.63E-07
196	4.27E-07
196	4.65E-07
197	6.04E-07
197	7.32E-07
198	7.73E-07
198	1.03E-06
199	1.69E-06
199	2.72E-06
200	7.67E-06
200	1.38E-05
201	4.17E-06
201	2.44E-06
202	1.97E-06
202	1.55E-06
203	1.21E-06
203	1.17E-06
204	1.21E-06
204	1.04E-06
205	8.72E-07
205	9.40E-07
206	8.71E-07
206	7.72E-07
207	8.30E-07
207	9.12E-07
208	7.71E-07
208	8.27E-07
209	8.92E-07
209	8.27E-07
210	7.97E-07
210	9.14E-07
211	9.80E-07
211	9.15E-07
212	9.65E-07
212	9.81E-07
213	9.61E-07
214	9.81E-07
214	1.05E-06
215	1.02E-06
215	9.99E-07
216	1.03E-06
216	1.03E-06
217	9.54E-07
217	9.14E-07
218	9.60E-07
218	9.29E-07
219	9.18E-07
219	9.43E-07
220	8.63E-07
220	8.02E-07
221	8.04E-07
221	7.92E-07
222	7.51E-07
222	6.71E-07
223	6.73E-07
223	6.39E-07
224	5.48E-07
224	5.51E-07
225	3.91E-07
225	4.75E-07
226	4.46E-07
226	4.25E-07
227	4.09E-07
227	4.00E-07
228	3.53E-07
228	3.76E-07
229	3.62E-07
229	3.36E-07
230	3.70E-07
230	3.57E-07
231	3.55E-07
231	4.04E-07
232	4.17E-07
232	4.50E-07
233	3.90E-07
233	3.93E-07
234	4.83E-07
234	4.61E-07
235	4.75E-07
236	4.50E-07
236	4.22E-07
237	4.72E-07
237	4.33E-07
238	4.19E-07
238	4.33E-07
239	4.99E-07
239	3.59E-07
240	3.50E-07
240	3.07E-07
241	3.92E-07
241	2.95E-07
242	3.04E-07
242	3.33E-07
243	3.33E-07
243	3.21E-07
244	3.36E-07
244	3.61E-07
245	3.79E-07
245	3.20E-07
246	3.89E-07
246	3.88E-07
247	4.26E-07
247	3.71E-07
248	3.43E-07
248	3.70E-07
249	2.87E-07
249	2.81E-07
250	4.23E-07
250	3.09E-07
251	2.16E-07
251	1.96E-07
252	3.28E-07
252	2.04E-07
253	2.23E-07
253	1.90E-07
254	1.72E-07
254	1.90E-07
255	2.26E-07
255	1.90E-07
256	1.87E-07
257	1.77E-07
257	1.99E-07
258	2.04E-07
258	1.66E-07
259	1.89E-07
259	2.12E-07
260	2.24E-07
260	1.52E-07
261	1.34E-07
261	1.27E-07
262	1.88E-07
262	1.51E-07
263	1.56E-07
263	1.46E-07
264	1.60E-07
264	1.21E-07
265	1.23E-07
265	1.20E-07
266	1.29E-07
266	1.23E-07
267	1.36E-07
267	1.14E-07
268	1.49E-07
268	1.38E-07
269	1.27E-07
269	1.83E-07
270	1.42E-07
270	1.55E-07
271	1.72E-07
271	1.65E-07
272	1.34E-07
272	1.73E-07
273	1.73E-07
273	1.53E-07
274	2.04E-07
274	2.00E-07
275	2.22E-07
275	2.10E-07
276	2.19E-07
276	2.28E-07
277	1.92E-07
278	1.80E-07
278	2.09E-07
279	2.40E-07
279	1.81E-07
280	2.12E-07
280	2.55E-07
281	2.39E-07
281	2.08E-07
282	1.94E-07
282	2.46E-07
283	2.52E-07
283	2.09E-07
284	2.06E-07
284	2.39E-07
285	2.45E-07
285	2.42E-07
286	2.68E-07
286	2.52E-07
287	2.88E-07
287	2.97E-07
288	2.44E-07
288	2.88E-07
289	2.94E-07
289	2.66E-07
290	2.96E-07
290	2.26E-07
291	2.57E-07
291	2.32E-07
292	2.37E-07
292	2.41E-07
293	2.33E-07
293	2.23E-07
294	2.48E-07
294	2.09E-07
295	1.77E-07
295	2.02E-07
296	2.29E-07
296	2.17E-07
297	1.85E-07
297	2.18E-07
298	2.22E-07
298	2.36E-07
299	2.33E-07
300	2.57E-07
300	1.88E-07
301	2.16E-07
301	1.92E-07
302	2.02E-07
302	2.19E-07
303	2.45E-07
303	2.65E-07
304	2.49E-07
304	2.32E-07
305	2.60E-07
305	2.37E-07
306	2.97E-07
306	2.71E-07
307	2.80E-07
307	2.89E-07
308	3.05E-07
308	2.82E-07
309	2.87E-07
309	2.83E-07
310	2.74E-07
310	2.46E-07
311	2.71E-07
311	3.02E-07
312	2.72E-07
312	2.48E-07
313	2.17E-07
313	1.91E-07
314	2.11E-07
314	1.76E-07
315	1.60E-07
315	1.71E-07
316	1.36E-07
316	1.38E-07
317	1.69E-07
317	1.10E-07
318	8.96E-08
318	9.11E-08
319	1.18E-07
319	1.00E-07
320	7.75E-08
321	9.49E-08
321	1.15E-07
322	8.69E-08
322	9.48E-08
323	9.65E-08
323	1.13E-07
324	1.17E-07
324	7.45E-08
325	8.62E-08
325	1.36E-07
326	1.81E-07
326	1.86E-07
327	1.61E-07
327	1.62E-07
328	1.76E-07
328	1.33E-07
329	1.39E-07
329	1.62E-07
330	1.48E-07
330	1.66E-07
331	1.68E-07
331	1.90E-07
332	1.66E-07
332	1.67E-07
333	1.99E-07
333	1.98E-07
334	2.17E-07
334	2.17E-07
335	2.54E-07
335	2.34E-07
336	2.59E-07
336	2.68E-07
337	2.82E-07
337	2.93E-07
338	2.63E-07
338	2.71E-07
339	2.40E-07
339	2.13E-07
340	1.65E-07
340	1.29E-07
341	9.61E-08
