frequency - Sound Pressure_29 (FFT - (RMS) Phase)	Amplitude - Sound Pressure_29 (FFT - (RMS) Phase)	frequency - Acceleration (FFT - (RMS) Phase)	Amplitude - Acceleration (FFT - (RMS) Phase)
88.576001	2.07945	88.576001	-1.01923
89.088001	-1.16626	89.088001	-1.93624
89.600001	0.69681	89.600001	-1.76176
90.112001	-2.63153	90.112001	-2.97211
90.624001	0.126353	90.624001	-3.13178
91.136001	3.08785	91.136001	2.46351
91.648001	0.152409	91.648001	2.81347
92.160001	-2.26102	92.160001	1.76609
92.672001	2.39766	92.672001	1.4342
93.184001	-1.06153	93.184001	1.88954
93.696001	1.28367	93.696001	1.4584
94.208001	-2.39632	94.208001	0.397116
94.720001	0.210026	94.720001	-0.987932
95.232001	-2.98509	95.232001	-1.32662
95.744001	0.651132	95.744001	-2.50154
96.256001	-2.87322	96.256001	3.10801
96.768001	0.0446984	96.768001	1.686
97.280001	-2.28997	97.280001	-2.77721
97.792001	0.46423	97.792001	0.95053
98.304001	2.02443	98.304001	1.62499
98.816001	-1.59733	98.816001	-1.9559
99.328001	1.15773	99.328001	1.18664
99.840001	-2.21374	99.840001	0.182799
100.352001	-0.851431	100.352001	-1.72409
100.864001	2.19487	100.864001	1.01754
101.376001	-1.01627	101.376001	-1.05465
101.888001	0.79915	101.888001	2.15783
102.400001	-2.48162	102.400001	-1.00954
102.912001	1.29746	102.912001	1.09092
103.424001	-1.05919	103.424001	-1.97038
103.936001	3.03813	103.936001	-2.9233
104.448001	0.544022	104.448001	0.77813
104.960001	-2.39769	104.960001	0.576771
105.472001	-3.07439	105.472001	-2.40163
105.984001	-0.0616408	105.984001	0.80101
106.496001	2.69331	106.496001	-3.13111
107.008001	2.01728	107.008001	0.504722
107.520001	-2.37782	107.520001	-2.0166
108.032001	0.327999	108.032001	0.441411
108.544001	2.35817	108.544001	3.027
109.056001	-0.719921	109.056001	0.118802
109.568001	-2.36617	109.568001	1.41791
110.080001	2.20998	110.080001	-3.02617
110.592001	-0.663902	110.592001	-0.657546
111.104001	-2.71349	111.104001	2.20898
111.616001	0.339396	111.616001	-0.469652
112.128001	2.60041	112.128001	2.77558
112.640001	-0.708007	112.640001	2.53871
